p	item	meso	stat	2st	3rd	sell_complete
277777777	20	0	4	6	9	0
209999999	20	0	0	0	0	0
289999999	20	0	4	9	9	0
259999999	20	0	0	0	0	0
265555555	20	0	5	6	6	0
279999999	20	0	4	9	9	0
288888888	20	0	0	0	0	0
399990000	20	0	6	9	12	0
299999999	20	0	0	0	0	0
279999999	20	0	4	9	9	0
255555555	20	0	0	0	0	0
254444444	20	0	0	0	0	0
244444444	20	0	0	0	0	0
244444444	20	0	0	0	0	0
269999999	20	0	0	0	0	0
299999999	20	0	0	0	0	0
279999999	20	0	2	6	9	0
249999999	20	0	0	0	0	0
277777777	20	0	0	0	0	0
288888888	20	0	1	9	9	0
99999999	20	0	0	0	0	0
270000000	20	0	3	9	9	0
350000000	20	0	0	0	0	0
222222222	20	0	0	0	0	0
211111111	20	0	0	0	0	0
199999999	20	0	0	0	0	0
199999999	20	0	0	0	0	0
210000000	20	0	0	0	0	0
195000000	20	0	6	9	9	0
171111111	20	0	6	9	9	0
299999999	20	0	4	12	6	0
280000000	20	0	2	6	9	0
208888888	20	0	0	0	0	0
399999999	20	0	1	9	9	0
212222222	20	0	0	0	0	0
311111111	20	0	3	9	9	0
211111111	20	0	0	0	0	0
299999999	20	0	1	12	6	0
250000000	20	0	0	0	0	0
233333333	20	0	0	0	0	0
250000000	20	0	0	0	0	0
249999999	20	0	0	0	0	0
333330000	20	0	4	12	9	0
238888888	20	0	0	0	0	0
239999999	20	0	0	0	0	0
299990000	20	0	4	9	9	0
299999999	20	0	1	9	9	0
299888888	20	0	4	9	9	0
250000000	20	0	0	0	0	0
349999999	20	0	4	12	9	0
188888888	20	0	1	9	9	0
99999999	20	0	1	9	9	0
222222222	20	0	0	0	0	0
280000000	20	0	3	9	9	0
230000000	20	0	0	0	0	0
270000000	20	0	1	9	9	0
220000000	20	0	0	0	0	0
222222222	20	0	0	0	0	0
233333333	20	0	4	9	6	0
199999999	20	0	4	9	9	0
219999999	20	0	0	0	0	0
244444444	20	0	0	0	0	0
215000000	20	0	0	0	0	0
179999999	20	0	0	0	0	0
198888888	20	0	0	0	0	0
177777777	20	0	0	0	0	0
175555555	20	0	0	0	0	0
169999999	20	0	0	0	0	0
169999999	20	0	0	0	0	0
188888888	20	0	0	0	0	0
249999999	20	0	3	9	9	0
200000000	20	0	0	0	0	0
244444444	20	0	2	9	6	0
200000000	20	0	0	0	0	0
222222222	20	0	1	6	9	0
255555555	20	0	0	0	0	0
429999999	20	0	1	9	9	0
222222222	20	0	0	0	0	0
195444444	20	0	0	0	0	0
219999999	20	0	0	0	0	0
288888888	20	0	2	6	9	0
299990000	20	0	4	9	9	0
209999999	20	0	0	0	0	0
210000000	20	0	0	0	0	0
222222222	20	0	0	0	0	0
233333333	20	0	1	6	9	0
244444444	20	0	4	9	6	0
198888888	20	0	0	0	0	0
333333333	20	0	1	9	9	0
197999999	20	0	0	0	0	0
277777777	20	0	4	9	9	0
193333333	20	0	0	0	0	0
199999999	20	0	2	9	6	0
195500000	20	0	0	0	0	0
270000000	20	0	4	9	9	0
219999999	20	0	1	9	6	0
499990000	20	0	3	9	12	0
199988888	20	0	0	0	0	0
198888888	20	0	0	0	0	0
199999999	20	0	0	0	0	0
199999999	20	0	1	6	9	0
199999999	20	0	0	0	0	0
211111111	20	0	0	0	0	0
199999999	20	0	0	0	0	0
222222222	20	0	3	9	6	0
188888888	20	0	0	0	0	0
190000000	20	0	0	0	0	0
230000000	20	0	2	9	9	0
199999998	20	0	0	0	0	0
220000000	20	0	0	0	0	0
199999999	20	0	0	0	0	0
165555555	20	0	0	0	0	0
199999999	20	0	0	0	0	0
279999999	0	20	2	9	9	1
299990000	0	20	6	12	9	1
299990000	0	20	6	12	9	1
350000000	0	20	0	0	0	1
399999999	0	20	0	0	0	1
399999999	0	20	1	6	9	1
450000000	0	20	5	6	6	1
455555555	0	20	2	9	9	1
455555555	0	20	1	12	9	1
499999999	0	20	4	12	9	1
499999999	0	20	1	12	9	1
555555555	0	20	4	9	12	1
266666666	0	20	3	9	9	0
299999999	0	20	2	12	9	0
255555555	0	20	0	0	0	0
249999999	0	20	3	9	9	0
349990000	0	20	4	12	9	0
199999999	0	20	2	9	9	0
269999999	0	20	0	0	0	0
266666666	0	20	0	0	0	0
